1627568345.416658 "6km away!"
1627583607.2114935 "lightning 263119 5 km"
1627586691.5103614 "lightning 473937 1 km"
1627703072.4675617 "lightning 412642 1 km"
1627706949.3143752 "lightning 17307 17 km"
1627718360.1754582 "lightning 101127 8 km"
1627726412.857499 "lightning 113473 8 km"
1627730267.2109 "lightning 26899 14 km"
1627732931.4418871 "lightning 354881 1 km"
1627735963.9475722 "lightning 65727 10 km"
1627768075.0153089 "lightning 283781 1 km"
1627778330.6374395 "lightning 436479 1 km"
1627784480.2296782 "lightning 432853 1 km"
1627788660.4548008 "lightning 362278 1 km"
1627790728.420213 "lightning 396491 1 km"
1627795554.6992173 "lightning 149835 6 km"
1627806362.377527 "lightning 163407 6 km"
1627809182.5940106 "lightning 490383 1 km"
1627823078.7629807 "lightning 59343 10 km"
1627823678.1258166 "lightning 58658 10 km"
1627829648.0283053 "lightning 436675 1 km"
1627829817.4200544 "lightning 39648 1 km"
1627839739.760637 "lightning 365799 1 km"
1627858969.7709756 "lightning 72227 10 km"
1627874028.6613562 "lightning 287353 1 km"
1627874992.601572 "lightning 74394 10 km"
1627974133.3275995 "lightning 300908 1 km"
1627991726.6665099 "lightning 483341 1 km"
1627996205.1772625 "lightning 462894 1 km"
1628010051.9630651 "lightning 587 40 km"
1628010550.1335154 "lightning 366907 1 km"
1628011073.0019186 "lightning 309510 1 km"
1628013405.8513138 "lightning 62831 10 km"
1628018886.693294 "lightning 237509 5 km"
1628018890.7944314 "lightning 406882 1 km"
1628040433.95798 "lightning 73439 10 km"
1628042471.9275599 "lightning 488507 1 km"
1628044955.568197 "lightning 302819 1 km"
1628046941.3419435 "lightning 462039 1 km"
1628049302.3454661 "lightning 88971 8 km"
1628058178.855874 "lightning 14348 20 km"
1628058187.9554415 "lightning 78931 8 km"
1628060540.1015952 "lightning 144795 6 km"
1628074116.0021057 "lightning 174091 6 km"
1628074120.5013158 "lightning 501717 1 km"
1628084629.2095473 "lightning 334256 1 km"
1628095771.578011 "lightning 406944 1 km"
1628139645.3425815 "lightning 364402 1 km"
1628145368.7609375 "lightning 436843 1 km"
1628156336.2321513 "lightning 480564 1 km"
1628165901.7011142 "lightning 291791 1 km"
1628228487.7322035 "lightning 324580 1 km"
1628252870.2969608 "lightning 179453 5 km"
1628277030.9948306 "lightning 438085 1 km"
1628288859.820298 "lightning 174980 6 km"
1628293050.1414318 "lightning 359289 1 km"
1628298462.3858783 "lightning 10476 20 km"
1628326435.188734 "lightning 362696 1 km"
1628398703.256246 "lightning 101331 8 km"
1628430583.6850564 "lightning 11157 20 km"
1628435189.783059 "lightning 252776 5 km"
1628438400.6738818 "lightning 155237 6 km"
1628440546.9362912 "lightning 350739 1 km"
1628460765.1990793 "lightning 418269 1 km"
1628462910.1612997 "lightning 22212 17 km"
1628483408.7949862 "lightning 505345 1 km"
1628493440.2289577 "lightning 257729 5 km"
1628505449.1321716 "lightning 458771 1 km"
1628518009.6048045 "lightning 409639 1 km"
1628533873.2809966 "lightning 29868 14 km"
1628539897.8712015 "lightning 126035 6 km"
1628544369.0704691 "lightning 348212 1 km"
1628546631.5223489 "lightning 312918 1 km"
1628551735.586734 "lightning 262841 5 km"
1628554135.3314314 "lightning 277517 1 km"
1628556548.6748307 "lightning 325214 1 km"
1628557302.226639 "lightning 155666 1 km"
1628563832.25733 "lightning 385837 1 km"
1628563833.1526182 "lightning 478386 1 km"
1628565665.0327232 "lightning 455465 1 km"
1628568746.4270465 "lightning 491361 1 km"
1628592649.11801 "lightning 141431 6 km"
1628592656.219941 "lightning 87461 6 km"
1628595053.0654216 "lightning 30607 14 km"
1628597567.8004322 "lightning 425479 1 km"
1628604051.8688903 "lightning 110264 8 km"
1628604163.963941 "lightning 275526 1 km"
1628610241.759898 "lightning 372865 1 km"
1628610717.7310128 "lightning 410712 1 km"
1628618437.21877 "lightning 146574 6 km"
1628623859.6613445 "lightning 409140 1 km"
1628623917.8596432 "lightning 313412 1 km"
1628626346.9023628 "lightning 432941 1 km"
1628628449.565253 "lightning 390456 1 km"
1628634354.6782577 "lightning 411405 1 km"
1628639541.6378026 "lightning 437472 1 km"
1628654540.0351954 "lightning 482695 1 km"
1628664971.641291 "lightning 91540 8 km"
1628666121.1673715 "lightning 52809 10 km"
1628666152.268688 "lightning 33969 10 km"
1628678634.2050495 "lightning 474941 1 km"
1628692778.26322 "lightning 199912 5 km"
1628693950.8886905 "lightning 386653 1 km"
1628694639.645781 "lightning 463468 1 km"
1628715328.3069828 "lightning 106633 8 km"
1628757341.4669878 "lightning 482945 1 km"
1628775934.0878773 "lightning 346609 1 km"
1628805927.9203107 "lightning 219536 5 km"
